bot,label,mean,CI low,CI high,n
bart_fid_rag_bcb,consistent,2.5,1.420361284228852,3.5796387157711482,10.0
bart_fid_rag_bcb,emotional,3.7,2.7432147810625884,4.6567852189374115,10.0
bart_fid_rag_bcb,engaging,3.1,2.1197318961455704,4.08026810385443,10.0
bart_fid_rag_bcb,grammatical,4.5,4.122973806209835,4.877026193790165,10.0
bart_fid_rag_bcb,informative,3.9,3.043561120599888,4.756438879400112,10.0
bart_fid_rag_bcb,proactive,3.1,2.3127461949885535,3.8872538050114467,10.0
bart_fid_rag_bcb,quality,2.7,1.8046123998323456,3.595387600167655,10.0
bart_fid_rag_bcb,relevant,3.0,1.9883325616646177,4.011667438335382,10.0
blender2_3B,consistent,3.0,1.4792783862083618,4.520721613791638,5.0
blender2_3B,emotional,4.0,1.8493748691819656,6.150625130818034,5.0
blender2_3B,engaging,4.0,1.8493748691819656,6.150625130818034,5.0
blender2_3B,grammatical,4.8,4.24471097896044,5.355289021039559,5.0
blender2_3B,informative,3.4,1.5169233116515584,5.283076688348442,5.0
blender2_3B,proactive,3.4,1.5169233116515584,5.283076688348442,5.0
blender2_3B,quality,3.4,1.7341329368813208,5.065867063118679,5.0
blender2_3B,relevant,4.0,1.8493748691819656,6.150625130818034,5.0
cem,consistent,2.25,1.231785271440682,3.268214728559318,12.0
cem,emotional,2.4166666666666665,1.6767785686369043,3.1565547646964287,12.0
cem,engaging,1.1666666666666667,0.9193493512980733,1.4139839820352602,12.0
cem,grammatical,4.333333333333333,3.4624391976509346,5.2042274690157315,12.0
cem,informative,1.1666666666666667,0.9193493512980733,1.4139839820352602,12.0
cem,proactive,1.25,0.8550659182510615,1.6449340817489384,12.0
cem,quality,1.0833333333333333,0.8999179033264209,1.2667487633402457,12.0
cem,relevant,1.75,1.1366730031549734,2.363326996845027,12.0
dukenet,consistent,2.5555555555555554,1.5306648288740574,3.5804462822370535,9.0
dukenet,emotional,2.7777777777777777,1.8539537610783552,3.7016017944772,9.0
dukenet,engaging,2.2222222222222223,1.3821399804295815,3.062304464014863,9.0
dukenet,grammatical,2.7777777777777777,1.7771962195397895,3.778359336015766,9.0
dukenet,informative,2.5555555555555554,1.6866621674306845,3.424448943680426,9.0
dukenet,proactive,2.0,1.1406029996116298,2.85939700038837,9.0
dukenet,quality,1.8888888888888888,1.1755951309123627,2.602182646865415,9.0
dukenet,relevant,2.4444444444444446,1.7665429484905664,3.122345940398323,9.0
emora,consistent,4.1,3.312746194988553,4.887253805011446,10.0
emora,emotional,3.8,2.92063136036517,4.67936863963483,10.0
emora,engaging,4.2,3.461182564440326,4.938817435559674,10.0
emora,grammatical,4.4,3.6310144322913334,5.168985567708667,10.0
emora,informative,3.5,2.5920006857587308,4.40799931424127,10.0
emora,proactive,4.3,3.5421867293008433,5.057813270699156,10.0
emora,quality,3.4,2.631014432291333,4.168985567708667,10.0
emora,relevant,3.4,2.3771535765733454,4.4228464234266545,10.0
rerank_blender,consistent,3.4,2.631014432291333,4.168985567708667,10.0
rerank_blender,emotional,3.5,2.5920006857587308,4.40799931424127,10.0
rerank_blender,engaging,3.2,2.387860723933332,4.0121392760666685,10.0
rerank_blender,grammatical,2.9,2.1886284002984926,3.6113715997015072,10.0
rerank_blender,informative,3.7,2.7432147810625884,4.6567852189374115,10.0
rerank_blender,proactive,3.7,3.021352851177703,4.3786471488222976,10.0
rerank_blender,quality,3.1,2.1197318961455704,4.080268103854429,10.0
rerank_blender,relevant,3.4,2.4951371349036036,4.304862865096396,10.0
rerank_blender2,consistent,3.0,2.24594761241967,3.75405238758033,10.0
rerank_blender2,emotional,2.4,1.631014432291333,3.168985567708667,10.0
rerank_blender2,engaging,2.9,2.043561120599888,3.756438879400112,10.0
rerank_blender2,grammatical,2.7,1.7432147810625884,3.656785218937412,10.0
rerank_blender2,informative,3.3,2.4705423736616363,4.129457626338363,10.0
rerank_blender2,proactive,2.9,1.9795617593823909,3.8204382406176087,10.0
rerank_blender2,quality,2.1,1.2435611205998878,2.956438879400112,10.0
rerank_blender2,relevant,2.1,1.5721633286937688,2.6278366713062313,10.0
