round,category,label,Krippendorff's alpha,CI low,CI high,n,Fleiss' kappa,CI low.1,CI high.1,n.1
2,likert turn,grammatical,0.419,0.372,0.464,1634,0.296,0.259,0.333,1634
2,likert turn,quality,0.312,0.267,0.357,1634,0.092,0.061,0.122,1634
2,likert turn,engaging,0.295,0.246,0.344,1634,0.123,0.092,0.153,1634
2,likert turn,proactive,0.279,0.232,0.327,1634,0.098,0.071,0.125,1634
2,likert turn,informative,0.278,0.233,0.321,1634,0.092,0.065,0.123,1634
2,likert turn,relevant,0.239,0.190,0.287,1634,0.100,0.068,0.132,1634
2,likert turn,consistent,0.201,0.150,0.252,1634,0.083,0.052,0.116,1634
2,likert turn,emotional,0.166,0.119,0.214,1634,0.021,-0.009,0.056,1634
2,likert dialogue,informative,0.409,0.257,0.531,108,0.031,-0.089,0.157,108
2,likert dialogue,consistent,0.360,0.199,0.511,108,0.074,-0.023,0.202,108
2,likert dialogue,relevant,0.298,0.133,0.455,108,-0.003,-0.105,0.126,108
2,likert dialogue,quality,0.286,0.117,0.452,108,0.078,-0.028,0.205,108
2,likert dialogue,engaging,0.259,0.074,0.435,108,0.123,0.007,0.265,108
2,likert dialogue,emotional,0.256,0.082,0.433,108,0.046,-0.057,0.178,108
2,likert dialogue,proactive,0.243,0.040,0.426,108,-0.026,-0.121,0.079,108
2,likert dialogue,grammatical,0.132,-0.033,0.297,108,-0.058,-0.173,0.082,108
2,comparative,consistent,0.484,0.318,0.629,108,0.481,0.308,0.645,108
2,comparative,quality,0.447,0.283,0.631,108,0.444,0.295,0.611,108
2,comparative,relevant,0.418,0.238,0.578,108,0.392,0.226,0.553,108
2,comparative,proactive,0.226,0.058,0.391,108,0.222,0.037,0.425,108
2,comparative,grammatical,0.215,0.050,0.390,108,0.024,-0.088,0.162,108
2,comparative,informative,0.209,0.031,0.379,108,0.200,0.027,0.382,108
2,comparative,emotional,0.202,0.016,0.387,108,0.074,-0.050,0.209,108
2,comparative,engaging,0.115,-0.052,0.300,108,0.111,-0.069,0.302,108
2,behavior,topic switch,0.755,0.714,0.795,1634,0.755,0.715,0.791,1634
2,behavior,incorrect fact,0.652,0.570,0.717,1634,0.651,0.577,0.711,1634
2,behavior,life info,0.631,0.588,0.676,1634,0.631,0.586,0.672,1634
2,behavior,correct fact,0.618,0.570,0.660,1634,0.618,0.569,0.664,1634
2,behavior,ignore,0.571,0.502,0.630,1634,0.571,0.500,0.632,1634
2,behavior,antisocial,0.553,0.220,0.799,1634,0.553,0.231,0.823,1634
2,behavior,redundant,0.551,0.470,0.624,1634,0.551,0.477,0.623,1634
2,behavior,empathetic,0.514,0.472,0.558,1634,0.513,0.475,0.556,1634
2,behavior,follow up,0.492,0.447,0.533,1634,0.492,0.447,0.532,1634
2,behavior,preference info,0.491,0.449,0.532,1634,0.491,0.446,0.536,1634
2,behavior,irrelevant,0.456,0.396,0.511,1634,0.456,0.396,0.516,1634
