bot,label,mean,CI low,CI high,n
rerank_blender,informative,3.940,3.751,4.129,100
rerank_blender,engaging,3.870,3.662,4.078,100
rerank_blender,proactive,3.820,3.616,4.024,100
rerank_blender,emotional,3.810,3.601,4.019,100
rerank_blender,consistent,3.670,3.432,3.908,100
rerank_blender,relevant,3.600,3.387,3.813,100
rerank_blender,grammatical,3.470,3.251,3.689,100
rerank_blender,quality,3.230,3.031,3.429,100
emora,grammatical,4.020,3.871,4.169,100
emora,proactive,3.940,3.745,4.135,100
emora,consistent,3.910,3.682,4.138,100
emora,engaging,3.750,3.573,3.927,100
emora,emotional,3.610,3.394,3.826,100
emora,informative,3.520,3.357,3.683,100
emora,relevant,3.510,3.318,3.702,100
emora,quality,3.420,3.268,3.572,100
blender2_3B,emotional,4.340,4.177,4.503,100
blender2_3B,grammatical,4.210,4.040,4.380,100
blender2_3B,relevant,4.040,3.851,4.229,100
blender2_3B,engaging,3.960,3.784,4.136,100
blender2_3B,proactive,3.840,3.651,4.029,100
blender2_3B,informative,3.680,3.489,3.871,100
blender2_3B,quality,3.590,3.401,3.779,100
blender2_3B,consistent,3.480,3.207,3.753,100
bart_fid_rag_bcb,informative,3.830,3.645,4.015,100
bart_fid_rag_bcb,grammatical,3.780,3.598,3.962,100
bart_fid_rag_bcb,relevant,3.600,3.367,3.833,100
bart_fid_rag_bcb,emotional,3.560,3.319,3.801,100
bart_fid_rag_bcb,engaging,3.230,2.994,3.466,100
bart_fid_rag_bcb,consistent,3.030,2.745,3.315,100
bart_fid_rag_bcb,quality,3.000,2.813,3.187,100
bart_fid_rag_bcb,proactive,2.880,2.656,3.104,100
