bot,label,mean,CI low,CI high,n
rerank_blender,emotional,4.213,4.160,4.265,1500
rerank_blender,consistent,4.034,3.972,4.096,1500
rerank_blender,grammatical,4.000,3.946,4.054,1500
rerank_blender,engaging,3.823,3.762,3.885,1500
rerank_blender,relevant,3.741,3.675,3.806,1500
rerank_blender,informative,3.728,3.673,3.783,1500
rerank_blender,proactive,3.644,3.582,3.706,1500
rerank_blender,quality,3.318,3.258,3.378,1500
emora,grammatical,4.533,4.499,4.567,1522
emora,consistent,4.140,4.081,4.199,1522
emora,emotional,3.973,3.918,4.028,1522
emora,engaging,3.879,3.823,3.936,1522
emora,relevant,3.797,3.731,3.863,1522
emora,proactive,3.760,3.702,3.819,1522
emora,quality,3.521,3.459,3.583,1522
emora,informative,3.194,3.133,3.254,1522
blender2_3B,grammatical,4.646,4.610,4.683,1524
blender2_3B,emotional,4.220,4.169,4.270,1524
blender2_3B,relevant,4.190,4.130,4.249,1524
blender2_3B,consistent,4.089,4.026,4.151,1524
blender2_3B,engaging,3.958,3.901,4.015,1524
blender2_3B,quality,3.808,3.748,3.868,1524
blender2_3B,proactive,3.575,3.519,3.632,1524
blender2_3B,informative,3.440,3.389,3.492,1524
bart_fid_rag_bcb,grammatical,4.311,4.263,4.358,1512
bart_fid_rag_bcb,emotional,4.024,3.963,4.084,1512
bart_fid_rag_bcb,consistent,3.936,3.867,4.005,1512
bart_fid_rag_bcb,relevant,3.896,3.827,3.964,1512
bart_fid_rag_bcb,informative,3.796,3.742,3.849,1512
bart_fid_rag_bcb,engaging,3.621,3.553,3.689,1512
bart_fid_rag_bcb,quality,3.343,3.277,3.410,1512
bart_fid_rag_bcb,proactive,2.946,2.886,3.006,1512
